"","response","Freq.R1","Types.R1","Freq.R123","Types.R123"
"12706","bandera pequeña",1,1,1,1
"12707","banderas",NA,NA,1,1
"12708","banderin",NA,NA,1,1
"12709","banderines",1,1,1,1
"12710","banderola",NA,NA,1,1
"12711","bang",1,1,1,1
"12712","bang bang",NA,NA,1,1
"12713","banhio",1,1,1,1
"12714","banqueta",NA,NA,1,1
"12715","banquete",NA,NA,1,1
"12716","bañadera",NA,NA,1,1
"12717","bañadera escolar",NA,NA,1,1
"12718","bañar",1,1,1,1
"12719","baÑo",1,1,1,1
"12720","Baño",NA,NA,1,1
"12721","baquetas",NA,NA,1,1
"12722","Bar",NA,NA,1,1
"12723","barajala",NA,NA,1,1
"12724","baras",NA,NA,1,1
"12725","Barba",NA,NA,1,1
"12726","barbero",1,1,1,1
"12727","barca",1,1,1,1
"12728","barco hundido",1,1,1,1
"12729","barco, agua, viento",1,1,1,1
"12730","bariedad",NA,NA,1,1
"12731","barman",NA,NA,1,1
"12732","barney stinson",NA,NA,1,1
"12733","barolfio",NA,NA,1,1
"12734","barón",NA,NA,1,1
"12735","barovero",1,1,1,1
"12736","barquito",1,1,1,1
"12737","barrán",NA,NA,1,1
"12738","barre",1,1,1,1
"12739","barreara",NA,NA,1,1
"12740","barrera transparente",1,1,1,1
"12741","barrial",1,1,1,1
"12742","barricada",NA,NA,1,1
"12743","barriga, nariz, pelado",1,1,1,1
"12744","Barril",NA,NA,1,1
"12745","barril de madera",1,1,1,1
"12746","Barrio",1,1,1,1
"12747","barrio cercanía,conocido",1,1,1,1
"12748","barrio estado departamento",1,1,1,1
"12749","barrios",1,1,1,1
"12750","Bart",1,1,1,1
"12751","Barullo",NA,NA,1,1
"12752","basal",NA,NA,1,1
"12753","Básauqtbol",1,1,1,1
"12754","báscula",1,1,1,1
"12755","Base",1,1,1,1
"12756","Basico",NA,NA,1,1
"12757","basija",NA,NA,1,1
"12758","Basketball",1,1,1,1
"12759","basketboll",1,1,1,1
"12760","básquet",NA,NA,1,1
"12761","basquetaball",1,1,1,1
"12762","Basquetball",NA,NA,1,1
"12763","basqutet",NA,NA,1,1
"12764","bastillo",1,1,1,1
"12765","bastión",1,1,1,1
"12766","bastos",1,1,1,1
"12767","basuca",NA,NA,1,1
"12768","basur",NA,NA,1,1
"12769","basural",NA,NA,1,1
"12770","bataclana",NA,NA,1,1
"12771","batalla campal",1,1,1,1
"12772","batallón",1,1,1,1
"12773","bate",NA,NA,1,1
"12774","Baterista",NA,NA,1,1
"12775","batesball",1,1,1,1
"12776","batidor",NA,NA,1,1
"12777","batidora",1,1,1,1
"12778","batlle",NA,NA,1,1
"12779","baton",1,1,1,1
"12780","Battle",1,1,1,1
"12781","batuta",NA,NA,1,1
"12782","bautizo",NA,NA,1,1
"12783","bawling",1,1,1,1
"12784","baylies",1,1,1,1
"12785","Bazar",NA,NA,1,1
"12786","bbva",1,1,1,1
"12787","BDSM",NA,NA,1,1
"12788","beach",NA,NA,1,1
"12789","beatle",1,1,1,1
"12790","beba",NA,NA,1,1
"12791","Bebé",1,1,1,1
"12792","bebè",1,1,1,1
"12793","bebe primero vida",1,1,1,1
"12794","bebida alcholica",1,1,1,1
"12795","bebida caliente",NA,NA,1,1
"12796","bebota",NA,NA,1,1
"12797","bebuda",1,1,1,1
"12798","becker",NA,NA,1,1
"12799","bed",1,1,1,1
"12800","bedelias",NA,NA,1,1
"12801","beee",NA,NA,1,1
"12802","beeeee",1,1,1,1
"12803","begin",NA,NA,1,1
"12804","belen",NA,NA,1,1
"12805","Belice",NA,NA,1,1
"12806","bell",NA,NA,1,1
"12807","bella vista",1,1,1,1
"12808","Bello",1,1,1,1
"12809","bellotas",NA,NA,1,1
"12810","Bellotas",NA,NA,1,1
"12811","belzebu",NA,NA,1,1
"12812","bemol",NA,NA,1,1
"12813","bendición",NA,NA,1,1
"12814","bendición, responsabilidad",1,1,1,1
"12815","beneficios",NA,NA,1,1
"12816","benevolente",NA,NA,1,1
"12817","bengala",NA,NA,1,1
"12818","bengoechea",NA,NA,1,1
"12819","beno",1,1,1,1
"12820","bereberes",NA,NA,1,1
"12821","beredicto",1,1,1,1
"12822","berenice",NA,NA,1,1
"12823","bergoglio",1,1,1,1
"12824","bermejo",NA,NA,1,1
"12825","bermudas",1,1,1,1
"12826","bermudez",1,1,1,1
"12827","bernardo",1,1,1,1
"12828","berrido",1,1,1,1
"12829","berro",1,1,1,1
"12830","bes",NA,NA,1,1
"12831","besote",NA,NA,1,1
"12832","bestial",NA,NA,1,1
"12833","bestidura",NA,NA,1,1
"12834","bet",1,1,1,1
"12835","better",NA,NA,1,1
"12836","bevida",1,1,1,1
"12837","bhoemi",1,1,1,1
"12838","bi",NA,NA,1,1
"12839","bi ruedas",NA,NA,1,1
"12840","biasati",1,1,1,1
"12841","bibi",NA,NA,1,1
"12842","bibliografia",1,1,1,1
"12843","bibliografía",1,1,1,1
"12844","bibliología",NA,NA,1,1
"12845","Biblioteca",1,1,1,1
"12846","bibloteca",NA,NA,1,1
"12847","bicelado",1,1,1,1
"12848","bícep",NA,NA,1,1
"12849","bicera",1,1,1,1
"12850","bicha",NA,NA,1,1
"12851","bichitos",1,1,1,1
"12852","bicho raro",1,1,1,1
"12853","biciclet",NA,NA,1,1
"12854","bicis",NA,NA,1,1
"12855","bidireccional",NA,NA,1,1
"12856","bien estar",NA,NA,1,1
"12857","bien terminado",NA,NA,1,1
"12858","bien vestida",NA,NA,1,1
"12859","bien vividos",NA,NA,1,1
"12860","Bienestar",NA,NA,1,1
"12861","bienvienido",1,1,1,1
"12862","bífida",NA,NA,1,1
"12863","bifocal",NA,NA,1,1
"12864","bifurcación",NA,NA,1,1
"12865","big",NA,NA,1,1
"12866","bigamia",1,1,1,1
"12867","bigamo",1,1,1,1
"12868","bigbang",NA,NA,1,1
"12869","bijou",NA,NA,1,1
"12870","bijouterie",1,1,1,1
"12871","bilateral",1,1,1,1
"12872","bilateralidad",NA,NA,1,1
"12873","bilis",1,1,1,1
"12874","BIllete",NA,NA,1,1
"12875","bimbo",NA,NA,1,1
"12876","binario",NA,NA,1,1
"12877","bingbang",NA,NA,1,1
"12878","binicular",1,1,1,1
"12879","biocombustible",1,1,1,1
"12880","biodiesel",NA,NA,1,1
"12881","biodiversidad",1,1,1,1
"12882","biografia",NA,NA,1,1
"12883","biografía",NA,NA,1,1
"12884","biologico",1,1,1,1
"12885","biopsia",1,1,1,1
"12886","bioquimica",NA,NA,1,1
"12887","bioquimico",NA,NA,1,1
"12888","bipartito",NA,NA,1,1
"12889","bipedo",NA,NA,1,1
"12890","birrodado",1,1,1,1
"12891","bis",NA,NA,1,1
"12892","bisera",1,1,1,1
"12893","bisexual",NA,NA,1,1
"12894","bisi",NA,NA,1,1
"12895","bismuto",NA,NA,1,1
"12896","bistro",1,1,1,1
"12897","bivienda",NA,NA,1,1
"12898","biyuya",NA,NA,1,1
"12899","bizarra",NA,NA,1,1
"12900","bizarro",NA,NA,1,1
"12901","bizcochuelo",NA,NA,1,1
"12902","bla",1,1,1,1
"12903","blabla",NA,NA,1,1
"12904","blaca",1,1,1,1
"12905","black widow",NA,NA,1,1
"12906","blackboard",NA,NA,1,1
"12907","blacna",1,1,1,1
"12908","blacos",NA,NA,1,1
"12909","blak jack",NA,NA,1,1
"12910","blanc",NA,NA,1,1
"12911","Blanca",NA,NA,1,1
"12912","blancacielo",NA,NA,1,1
"12913","Blanco negro vaca",1,1,1,1
"12914","blanco, llanto, vegetal",1,1,1,1
"12915","blanco/negro",NA,NA,1,1
"12916","Blancos",1,1,1,1
"12917","Blanda",NA,NA,1,1
"12918","blandito",NA,NA,1,1
"12919","blanes",NA,NA,1,1
"12920","blansçco",1,1,1,1
"12921","blanxas",1,1,1,1
"12922","blaser",NA,NA,1,1
"12923","blasón",1,1,1,1
"12924","blindada",NA,NA,1,1
"12925","blindado",1,1,1,1
"12926","bllanco",1,1,1,1
"12927","blnaco",NA,NA,1,1
"12928","blnco",1,1,1,1
"12929","blonda",1,1,1,1
"12930","bloquea",NA,NA,1,1
"12931","bloqueada",NA,NA,1,1
"12932","bloquear",1,1,1,1
"12933","bloques",NA,NA,1,1
"12934","blue",1,1,1,1
"12935","bluetooth",NA,NA,1,1
"12936","blusa",1,1,1,1
"12937","bo",1,1,1,1
"12938","boa",1,1,1,1
"12939","bob esponja",1,1,1,1
"12940","bobadas",1,1,1,1
"12941","bobalicón",1,1,1,1
"12942","bobear",NA,NA,1,1
"12943","bobería",NA,NA,1,1
"12944","bobero",1,1,1,1
"12945","bobina",1,1,1,1
"12946","bobo tarado navo",1,1,1,1
"12947","Boca Junior",NA,NA,1,1
"12948","bocas",NA,NA,1,1
"12949","boccias",1,1,1,1
"12950","bocho",NA,NA,1,1
"12951","bochorno",NA,NA,1,1
"12952","bodaa",1,1,1,1
"12953","bodas",1,1,1,1
"12954","bodrio",1,1,1,1
"12955","body",1,1,1,1
"12956","bofeton",NA,NA,1,1
"12957","bohemia",1,1,1,1
"12958","Bohemio",NA,NA,1,1
"12959","boia",1,1,1,1
"12960","bol",NA,NA,1,1
"12961","bolazo",1,1,1,1
"12962","boleado",1,1,1,1
"12963","boleadoras",1,1,1,1
"12964","bolero",NA,NA,1,1
"12965","bolilla",NA,NA,1,1
"12966","boliqueso",1,1,1,1
"12967","bollon",1,1,1,1
"12968","bolo",1,1,1,1
"12969","bolos",NA,NA,1,1
"12970","Bolsa",1,1,1,1
"12971","bolsa de papel",1,1,1,1
"12972","Bolsillos",NA,NA,1,1
"12973","Bolso",1,1,1,1
"12974","bolsón",NA,NA,1,1
"12975","bolt",1,1,1,1
"12976","Bolt",NA,NA,1,1
"12977","boluble",1,1,1,1
"12978","boluda",NA,NA,1,1
"12979","Boludo",NA,NA,1,1
"12980","bomba fuego",1,1,1,1
"12981","bombacha",1,1,1,1
"12982","bombardeo",1,1,1,1
"12983","bombear",NA,NA,1,1
"12984","bomberoa",NA,NA,1,1
"12985","Bombilla",1,1,1,1
"12986","bombín",NA,NA,1,1
"12987","bombita encendida",1,1,1,1
"12988","bombitas de agua",NA,NA,1,1
"12989","bomito",NA,NA,1,1
"12990","bond",1,1,1,1
"12991","bondiola",NA,NA,1,1
"12992","bonete",1,1,1,1
"12993","bonitos",1,1,1,1
"12994","Bono",NA,NA,1,1
"12995","booking",NA,NA,1,1
"12996","boomerang",1,1,1,1
"12997","boón",NA,NA,1,1
"12998","boracho",NA,NA,1,1
"12999","bordar",NA,NA,1,1
"13000","bordeadora",NA,NA,1,1
"13001","bordeaux",NA,NA,1,1
"13002","bordó",1,1,1,1
"13003","bordo'",1,1,1,1
"13004","boring",1,1,1,1
"13005","borombombon",NA,NA,1,1
"13006","Borracho",NA,NA,1,1
"13007","borrachos",NA,NA,1,1
"13008","borras",1,1,1,1
"13009","borrego",NA,NA,1,1
"13010","boscoso",1,1,1,1
"13011","boseto",NA,NA,1,1
"13012","bosina",1,1,1,1
"13013","bosquejo",NA,NA,1,1
"13014","bosques",NA,NA,1,1
"13015","boss",1,1,1,1
"13016","bostezar",1,1,1,1
"13017","botanica",NA,NA,1,1
"13018","botánica",1,1,1,1
"13019","botar",NA,NA,1,1
"13020","Botas",1,1,1,1
"13021","Botella",NA,NA,1,1
"13022","botellón",NA,NA,1,1
"13023","botin",1,1,1,1
"13024","botines",1,1,1,1
"13025","boto",NA,NA,1,1
"13026","botónb",NA,NA,1,1
"13027","botonera",1,1,1,1
"13028","botox",NA,NA,1,1
"13029","bots",1,1,1,1
"13030","botto",1,1,1,1
"13031","boveda",1,1,1,1
"13032","bóveda celeste",NA,NA,1,1
"13033","boxer",NA,NA,1,1
"13034","boy",1,1,1,1
"13035","boya",NA,NA,1,1
"13036","bozal",1,1,1,1
"13037","brabas",NA,NA,1,1
"13038","brackets",NA,NA,1,1
"13039","Bradbury",1,1,1,1
"13040","braile",NA,NA,1,1
"13041","branquias",NA,NA,1,1
"13042","brasilera",NA,NA,1,1
"13043","braza",1,1,1,1
"13044","Brazo",NA,NA,1,1
"13045","BRAZOS",NA,NA,1,1
"13046","brazos piernas pies",1,1,1,1
"13047","brea",1,1,1,1
"13048","break",1,1,1,1
"13049","breaking bad",1,1,1,1
"13050","brecha",NA,NA,1,1
"13051","Brega",1,1,1,1
"13052","brete",NA,NA,1,1
"13053","brevaaje",NA,NA,1,1
"13054","bricolage",NA,NA,1,1
"13055","brigo",1,1,1,1
"13056","brillantina",1,1,1,1
"13057","brillitos",NA,NA,1,1
"13058","brinco",1,1,1,1
"13059","brincos",1,1,1,1
"13060","brinda",NA,NA,1,1
"13061","brindado",NA,NA,1,1
"13062","brindar/se",NA,NA,1,1
"13063","brindarse",NA,NA,1,1
"13064","brindo",1,1,1,1
"13065","bris",NA,NA,1,1
"13066","brisca",1,1,1,1
"13067","briza",1,1,1,1
"13068","broches",NA,NA,1,1
"13069","bromas",NA,NA,1,1
"13070","bromo",NA,NA,1,1
"13071","brota",NA,NA,1,1
"13072","brote",1,1,1,1
"13073","brotes",1,1,1,1
"13074","brou",NA,NA,1,1
"13075","bruce willis",1,1,1,1
"13076","Bruja",1,1,1,1
"13077","brujería",NA,NA,1,1
"13078","brujo",1,1,1,1
"13079","Brujo",1,1,1,1
"13080","bruma",NA,NA,1,1
"13081","brutal",1,1,1,1
"13082","bse",1,1,1,1
"13083","btonce",NA,NA,1,1
"13084","bu",1,1,1,1
"13085","bublioteca",NA,NA,1,1
"13086","bucanero",NA,NA,1,1
"13087","bucear",NA,NA,1,1
"13088","buchón",NA,NA,1,1
"13089","buda",1,1,1,1
"13090","Buda",1,1,1,1
"13091","budqueda",NA,NA,1,1
"13092","buen aspecto",1,1,1,1
"13093","buen clima",1,1,1,1
"13094","buen dia",1,1,1,1
"13095","buen humor",NA,NA,1,1
"13096","buen momento",NA,NA,1,1
"13097","buen relacionamiento",NA,NA,1,1
"13098","buen tiempo",NA,NA,1,1
"13099","buen trato",1,1,1,1
"13100","buen uso",1,1,1,1
"13101","Buena",NA,NA,1,1
"13102","buena calidad",NA,NA,1,1
"13103","buena conducta",1,1,1,1
"13104","buena cosa",NA,NA,1,1
"13105","buena educación",NA,NA,1,1
"13106","buena esperanza",NA,NA,1,1
"13107","buena persona",NA,NA,1,1
"13108","buena presencia",1,1,1,1
"13109","buena quexa",NA,NA,1,1
"13110","buena vibra",1,1,1,1
"13111","buena vista",1,1,1,1
"13112","buena/mala",NA,NA,1,1
"13113","buenas ideas",1,1,1,1
"13114","buenas noches",NA,NA,1,1
"13115","buenaso",NA,NA,1,1
"13116","buenaventura",1,1,1,1
"13117","buendía",1,1,1,1
"13118","bueno fantástico óptimo",1,1,1,1
"13119","bueno, sano, genial",1,1,1,1
"13120","bueno!",1,1,1,1
"13121","buenos momentos",1,1,1,1
"13122","bufanda y gorro",1,1,1,1
"13123","bufarrones",NA,NA,1,1
"13124","bufete",1,1,1,1
"13125","buffet",1,1,1,1
"13126","bufo",NA,NA,1,1
"13127","buhardilla",1,1,1,1
"13128","Buho",1,1,1,1
"13129","buitre",1,1,1,1
"13130","bujia",1,1,1,1
"13131","Bulevar Artigas",1,1,1,1
"13132","bulgar",NA,NA,1,1
"13133","Bulgar",1,1,1,1
"13134","bulla",NA,NA,1,1
"13135","bullet",1,1,1,1
"13136","bullets",NA,NA,1,1
"13137","bulling",1,1,1,1
"13138","bullying",NA,NA,1,1
"13139","Bullying",NA,NA,1,1
"13140","bullyng",1,1,1,1
"13141","bulo",NA,NA,1,1
"13142","bulón",1,1,1,1
"13143","Bulto",NA,NA,1,1
"13144","bultos",1,1,1,1
"13145","bungee",NA,NA,1,1
"13146","bunker",NA,NA,1,1
"13147","bunquer",1,1,1,1
"13148","buo",1,1,1,1
"13149","buques",NA,NA,1,1
"13150","buraco",NA,NA,1,1
"13151","burdegano",NA,NA,1,1
"13152","burdo",1,1,1,1
"13153","bureta",NA,NA,1,1
"13154","Burger king",NA,NA,1,1
"13155","burguesia",NA,NA,1,1
"13156","burquesa",1,1,1,1
"13157","burra",NA,NA,1,1
"13158","bursátil",1,1,1,1
"13159","burucrata",NA,NA,1,1
"13160","busarueda",1,1,1,1
"13161","busca lleno de esperanza",NA,NA,1,1
"13162","buscador de respuestas",NA,NA,1,1
"13163","buscaminas",NA,NA,1,1
"13164","buscar algo",1,1,1,1
"13165","buscar mas",NA,NA,1,1
"13166","buscas",NA,NA,1,1
"13167","busci",NA,NA,1,1
"13168","bush",1,1,1,1
"13169","busque",1,1,1,1
"13170","butacas",NA,NA,1,1
"13171","butano",NA,NA,1,1
"13172","butiá",1,1,1,1
"13173","buz",NA,NA,1,1
"13174","buzonera",NA,NA,1,1
"13175","byron",1,1,1,1
"13176","c lase",1,1,1,1
"13177","C.A.P",NA,NA,1,1
"13178","C.I.",1,1,1,1
"13179","c+omplice",NA,NA,1,1
"13180","caarcel",1,1,1,1
"13181","caarta",1,1,1,1
"13182","cab",NA,NA,1,1
"13183","cábala",NA,NA,1,1
"13184","cabalistico",NA,NA,1,1
"13185","caballar",NA,NA,1,1
"13186","caballeria",1,1,1,1
"13187","caballería",NA,NA,1,1
"13188","caballero antiguo",NA,NA,1,1
"13189","caballero traje gris",1,1,1,1
"13190","caballete",NA,NA,1,1
"13191","cabalmente",NA,NA,1,1
"13192","cabana",NA,NA,1,1
"13193","cabar",1,1,1,1
"13194","cabarro",1,1,1,1
"13195","cabea",NA,NA,1,1
"13196","cabecear",NA,NA,1,1
"13197","Cabello",NA,NA,1,1
"13198","cabesa",1,1,1,1
"13199","Cabeza",NA,NA,1,1
"13200","cabeza blanda",NA,NA,1,1
"13201","cabeza gacha",1,1,1,1
"13202","cabezas",NA,NA,1,1
"13203","Cabezas",NA,NA,1,1
"13204","cabezaso",NA,NA,1,1
"13205","cabezon",NA,NA,1,1
"13206","cabezona",1,1,1,1
"13207","cabida",NA,NA,1,1
"13208","cabisbajo",1,1,1,1
"13209","Cable",1,1,1,1
"13210","cable a tierra",NA,NA,1,1
"13211","cable de teléfono",NA,NA,1,1
"13212","cableado",1,1,1,1
"13213","Cabo",NA,NA,1,1
"13214","cabo polonio",1,1,1,1
"13215","Cabo Polonio",1,1,1,1
"13216","cabrear",NA,NA,1,1
"13217","cabrera",NA,NA,1,1
"13218","cabron",1,1,1,1
"13219","cabrón",NA,NA,1,1
"13220","cabutiá",1,1,1,1
"13221","caca mala",NA,NA,1,1
"13222","cacahuete",1,1,1,1
"13223","cacciola",NA,NA,1,1
"13224","cacha",1,1,1,1
"13225","cachaca",NA,NA,1,1
"13226","cachalote",NA,NA,1,1
"13227","cachibaches",NA,NA,1,1
"13228","cachiporra",NA,NA,1,1
"13229","cachucha",1,1,1,1
"13230","cacino",1,1,1,1
"13231","caciporra",1,1,1,1
"13232","cada loco con su tema",1,1,1,1
"13233","cada uno",1,1,1,1
"13234","cadaber",1,1,1,1
"13235","Cadbury",NA,NA,1,1
"13236","caddie",NA,NA,1,1
"13237","caddy",NA,NA,1,1
"13238","cadena de producción",NA,NA,1,1
"13239","cadena evolutiva",NA,NA,1,1
"13240","cadenita",1,1,1,1
"13241","cadet",NA,NA,1,1
"13242","caediaca",NA,NA,1,1
"13243","caerme",NA,NA,1,1
"13244","caerse",NA,NA,1,1
"13245","cafè",NA,NA,1,1
"13246","cafe plato",1,1,1,1
"13247","cagadores",NA,NA,1,1
"13248","cagarse",1,1,1,1
"13249","cagaste",NA,NA,1,1
"13250","cagon",1,1,1,1
"13251","cagón",NA,NA,1,1
"13252","caido",NA,NA,1,1
"13253","caif",1,1,1,1
"13254","caigo",1,1,1,1
"13255","caipirinha",1,1,1,1
"13256","caipiroshka",NA,NA,1,1
"13257","Caja",1,1,1,1
"13258","caja con documentos",NA,NA,1,1
"13259","caja con mango",NA,NA,1,1
"13260","caja de cambios",1,1,1,1
"13261","caja fuerte",1,1,1,1
"13262","caja seguridad",NA,NA,1,1
"13263","cajafuerte",1,1,1,1
"13264","Cajas",NA,NA,1,1
"13265","cajeta",1,1,1,1
"13266","cajonera",NA,NA,1,1
"13267","cajuela",NA,NA,1,1
"13268","cal o",1,1,1,1
"13269","cala",NA,NA,1,1
"13270","calada",NA,NA,1,1
"13271","calagua",NA,NA,1,1
"13272","calaguala",NA,NA,1,1
"13273","calcetin",NA,NA,1,1
"13274","calculada",NA,NA,1,1
"13275","calculado",NA,NA,1,1
"13276","calcuta",1,1,1,1
"13277","Caldera",1,1,1,1
"13278","calderin",NA,NA,1,1
"13279","calderín",NA,NA,1,1
"13280","caldero",NA,NA,1,1
"13281","caldito",NA,NA,1,1
"13282","calecita",NA,NA,1,1
"13283","calefacccion",NA,NA,1,1
"13284","calefactor",1,1,1,1
"13285","calefon",NA,NA,1,1
"13286","caleidoscopio",NA,NA,1,1
"13287","calentador",NA,NA,1,1
"13288","calentamiento global",NA,NA,1,1
"13289","calenturas",NA,NA,1,1
"13290","calesita",1,1,1,1
"13291","calibrado",NA,NA,1,1
"13292","calibrar",NA,NA,1,1
"13293","calibro",NA,NA,1,1
"13294","calidad de vida",NA,NA,1,1
"13295","calides",1,1,1,1
"13296","càlido",1,1,1,1
"13297","cálidos",NA,NA,1,1
"13298","Caliente",1,1,1,1
"13299","caliento",1,1,1,1
"13300","call",1,1,1,1
"13301","callat",1,1,1,1
"13302","CALLE",1,1,1,1
"13303","calle (doblar a)",NA,NA,1,1
"13304","calle corrientes",1,1,1,1
"13305","calle viejo ciudad",1,1,1,1
"13306","callejeros",1,1,1,1
"13307","Callejeros",1,1,1,1
"13308","Calles",1,1,1,1
"13309","calma al escuchar",NA,NA,1,1
"13310","calmada",1,1,1,1
"13311","calo",NA,NA,1,1
"13312","calor mamà caricias",1,1,1,1
"13313","calorcito",NA,NA,1,1
"13314","calorìmetro",NA,NA,1,1
"13315","calos",1,1,1,1
"13316","calumnia",NA,NA,1,1
"13317","calvario",1,1,1,1
"13318","calvette",1,1,1,1
"13319","Calvo",NA,NA,1,1
"13320","calza",1,1,1,1
"13321","calzada",NA,NA,1,1
"13322","calzar",NA,NA,1,1
"13323","calzo",NA,NA,1,1
"13324","calzón",NA,NA,1,1
"13325","calzoncillo",NA,NA,1,1
"13326","Cama",NA,NA,1,1
"13327","camaleon",NA,NA,1,1
"13328","camara de fotos",1,1,1,1
"13329","camara, luz, nutidez",1,1,1,1
"13330","camarón",NA,NA,1,1
"13331","camarones",1,1,1,1
"13332","camarotd",NA,NA,1,1
"13333","camarote",NA,NA,1,1
"13334","camba",NA,NA,1,1
"13335","cambiar de posición",NA,NA,1,1
"13336","cambiaria",NA,NA,1,1
"13337","cambiarse",1,1,1,1
"13338","Cambio",1,1,1,1
"13339","cambur",1,1,1,1
"13340","camcha",NA,NA,1,1
"13341","camembert",1,1,1,1
"13342","camianar",1,1,1,1
"13343","camillas",NA,NA,1,1
"13344","camilo",1,1,1,1
"13345","camin",NA,NA,1,1
"13346","caminado",NA,NA,1,1
"13347","Caminar",NA,NA,1,1
"13348","caminar en  u n circulo",NA,NA,1,1
"13349","caminares",NA,NA,1,1
"13350","caminería",NA,NA,1,1
"13351","camino de tierra",NA,NA,1,1
"13352","camión y transporte",1,1,1,1
"13353","camionero",NA,NA,1,1
"13354","camionetas",1,1,1,1
"13355","Camisa",1,1,1,1
"13356","camisa blanca",NA,NA,1,1
"13357","camisas",1,1,1,1
"13358","camiseta de fútbol moderna",NA,NA,1,1
"13359","camiza",NA,NA,1,1
"13360","camorra",1,1,1,1
"13361","campalilla",1,1,1,1
"13362","Campana",NA,NA,1,1
"13363","campanadas",NA,NA,1,1
"13364","campanario",NA,NA,1,1
"13365","campanas",NA,NA,1,1
"13366","campaña polìtica",NA,NA,1,1
"13367","campañas",NA,NA,1,1
"13368","campeona",NA,NA,1,1
"13369","campeonatos",NA,NA,1,1
"13370","campito",1,1,1,1
"13371","campo solo caballo",1,1,1,1
"13372","camppo",1,1,1,1
"13373","camuno",1,1,1,1
"13374","canabis",1,1,1,1
"13375","canada",1,1,1,1
"13376","canadá",NA,NA,1,1
"13377","canadiense",NA,NA,1,1
"13378","canaleta",NA,NA,1,1
"13379","canancio",NA,NA,1,1
"13380","canario+",NA,NA,1,1
"13381","cancan",1,1,1,1
"13382","cancelación",NA,NA,1,1
"13383","Cáncer",NA,NA,1,1
"13384","cancha de ladrillo",NA,NA,1,1
"13385","cancha de tenis",NA,NA,1,1
"13386","cancha futbol jugador",1,1,1,1
"13387","cancha sintética de fútbol",NA,NA,1,1
"13388","canchas",NA,NA,1,1
"13389","canchero",NA,NA,1,1
"13390","canciòn",1,1,1,1
"13391","canción novela historia",1,1,1,1
"13392","cancioncita",NA,NA,1,1
"13393","cancón",NA,NA,1,1
"13394","candelabro",NA,NA,1,1
"13395","candenteç",1,1,1,1
"13396","candidato",NA,NA,1,1
"13397","candil",NA,NA,1,1
"13398","canejo",1,1,1,1
"13399","cangrejos",NA,NA,1,1
"13400","canguros",NA,NA,1,1
"13401","canhon",NA,NA,1,1
"13402","cánido",NA,NA,1,1
"13403","canila",1,1,1,1
"13404","canino femenino",1,1,1,1
"13405","canion",NA,NA,1,1
"13406","canívoro",NA,NA,1,1
"13407","canje",NA,NA,1,1
"13408","canjea",1,1,1,1
"13409","canónico",1,1,1,1
"13410","Canoso",NA,NA,1,1
"13411","canotaje",NA,NA,1,1
"13412","canpo",NA,NA,1,1
"13413","cansadas",NA,NA,1,1
"13414","Cansador",NA,NA,1,1
"13415","cansadora",1,1,1,1
"13416","cansansio",NA,NA,1,1
"13417","cantado",NA,NA,1,1
"13418","cantando",NA,NA,1,1
"13419","Cantar",1,1,1,1
"13420","cantarola",NA,NA,1,1
"13421","cantas",NA,NA,1,1
"13422","cantidad menor",1,1,1,1
"13423","cantidadc",1,1,1,1
"13424","cantidas",NA,NA,1,1
"13425","cantra",1,1,1,1
"13426","canturrear",NA,NA,1,1
"13427","canuto",NA,NA,1,1
"13428","cañ",1,1,1,1
"13429","Caña",NA,NA,1,1
"13430","caña de pescaer",NA,NA,1,1
"13431","cañas",NA,NA,1,1
"13432","caños",NA,NA,1,1
"13433","capacidad de convocatoria",NA,NA,1,1
"13434","capacidad de decisión",NA,NA,1,1
"13435","capacidad de procesamiento",1,1,1,1
"13436","capacidad de transporte",NA,NA,1,1
"13437","capacitacción",1,1,1,1
"13438","capacitacion",NA,NA,1,1
"13439","capacitar",NA,NA,1,1
"13440","caparzon",NA,NA,1,1
"13441","Capás",NA,NA,1,1
"13442","capasidad",NA,NA,1,1
"13443","Capaz",1,1,1,1
"13444","capciosa",NA,NA,1,1
"13445","capitalino",NA,NA,1,1
"13446","Capitalista",1,1,1,1
"13447","capitalistas",NA,NA,1,1
"13448","capitel",NA,NA,1,1
"13449","capìtulo",1,1,1,1
"13450","Capitulos",1,1,1,1
"13451","capítulos",NA,NA,1,1
"13452","Capo",NA,NA,1,1
"13453","capoeira",1,1,1,1
"13454","caprichos",NA,NA,1,1
"13455","caprichoso",NA,NA,1,1
"13456","caprino",1,1,1,1
"13457","capsula",NA,NA,1,1
"13458","capturar",1,1,1,1
"13459","capuchino",NA,NA,1,1
"13460","capullo",1,1,1,1
"13461","capurro",1,1,1,1
"13462","capusotto",NA,NA,1,1
"13463","caquexia",1,1,1,1
"13464","car",NA,NA,1,1
"13465","cara cagada",1,1,1,1
"13466","cara de culo",NA,NA,1,1
"13467","cara de un objeto",NA,NA,1,1
"13468","cara fria",NA,NA,1,1
"13469","cara mala",NA,NA,1,1
"13470","cara...cuerpo...oido",1,1,1,1
"13471","carabina",1,1,1,1
"13472","carabinero",NA,NA,1,1
"13473","caracajada",1,1,1,1
"13474","caracoles",NA,NA,1,1
"13475","caractarística",NA,NA,1,1
"13476","Carácter",NA,NA,1,1
"13477","Cáracter",NA,NA,1,1
"13478","caracter fuerte",NA,NA,1,1
